PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
JAWA BARAT,6,29951.00,934140.00,"28,73","2 200,60",346987.00,2003
JAWA TENGAH,6,11253.00,995469.00,"29,31","2 473,60",139486.00,2003
DI YOGYAKARTA,6,699.00,57612.00,"29,87","1 834,30",7578.00,2003
JAWA TIMUR,6,15285.00,1115239.00,"29,74","2 002,20",167611.00,2003
BANTEN,6,3443.00,207530.00,"29,85","1 353,70",39669.00,2003
BALI,6,5612.00,81870.00,"29,1","2 089,60",64887.00,2003
NUSA TENGGARA BARAT,6,1840.00,226627.00,"29,66","1 876,20",20565.00,2003
NUSA TENGGARA TIMUR,6,10948.00,103341.00,"29,13","1 886,50",86692.00,2003
KALIMANTAN BARAT,6,1989.00,253316.00,"28,56","3 160,60",15622.00,2003
KALIMANTAN TENGAH,6,1588.00,156645.00,29,"3 026,20",10808.00,2003
KALIMANTAN SELATAN,6,1869.00,420086.00,"29,02","2 773,20",18666.00,2003
KALIMANTAN TIMUR,6,3101.00,92982.00,"28,85","2 293,40",27064.00,2003
KALIMANTAN UTARA,6,-,-,,,-,2003
SULAWESI UTARA,6,2951.00,64605.00,"28,67","3 470,50",25579.00,2003
SULAWESI TENGAH,6,2693.00,121670.00,"29,62","2 218,70",24980.00,2003
SULAWESI SELATAN,6,5748.00,619084.00,"28,74","3 053,90",61789.00,2003
SULAWESI TENGGARA,6,3189.00,66939.00,"28,39","2 125,10",22985.00,2003
GORONTALO,6,404.00,27598.00,"29,09","1 816,30",3721.00,2003
SULAWESI BARAT,6,-,-,"29,37","1 870,60",-,2003
MALUKU,6,909.00,8401.00,"28,14","2 358,60",7793.00,2003
MALUKU UTARA,6,3321.00,11867.00,"28,7","2 024,50",28387.00,2003
PAPUA BARAT,6,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,6,52387.00,36021.00,"28,49","2 431,00",512427.00,2003
ACEH,0,370966.00,346305.00,"28,69","1 507,20",1552078.00,2004
SUMATERA UTARA,0,826091.00,502839.00,"29,24","3 140,20",3418782.00,2004
SUMATERA BARAT,0,422582.00,231939.00,"29,06","4 927,20",1875188.00,2004
RIAU,0,145239.00,125966.00,"28,98","2 949,20",454186.00,2004
JAMBI,0,156803.00,122126.00,"28,21","2 533,30",579404.00,2004
SUMATERA SELATAN,0,625013.00,474429.00,"28,73","2 674,00",2260794.00,2004
BENGKULU,0,110929.00,85641.00,"29,71","3 030,40",414741.00,2004
LAMPUNG,0,495519.00,316017.00,"29,66","1 682,20",2091996.00,2004
KEP. BANGKA BELITUNG,0,7402.00,3773.00,"27,94","2 900,00",18763.00,2004
KEP. RIAU,0,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,0,2941.00,2563.00,"30,22","1 644,30",13465.00,2004
JAWA BARAT,0,1880142.00,932337.00,"28,49","2 200,60",9602302.00,2004
